r_km,uld_1989,uld_2007,uld_2015
1.0,0.9210607820054408,0.9777948842282776,0.9708478513030322
2.0,0.8281685428742654,0.9311860519680942,0.8982427695882391
3.0,0.7839672162834305,0.8768507203796773,0.8275773436991264
4.0,0.7153805210414769,0.8257620684801078,0.7938446316015446
5.0,0.6391567643036768,0.7875925856100562,0.7658041022126608
6.0,0.5156549521417967,0.6760226951978803,0.6583978019037304
7.0,0.4003423022508147,0.523050968601969,0.5318564108410455
8.0,0.3635444516398487,0.4989864086724566,0.5198534292569299
9.0,0.2480061383777133,0.36923662977077465,0.3773355714384357
10.0,0.1804339470372706,0.3012219915128158,0.363848433838885
11.0,0.15652148454680526,0.2757641030151218,0.3230233032529228
12.0,0.17952220391437876,0.3098094070778676,0.3519717132774424
13.0,0.17363207558882454,0.2958937738231356,0.3367385287765864
14.0,0.11733573762050722,0.20581602855129744,0.2603735823686432
15.0,0.07429116261654972,0.158615845908312,0.22651273759493332
16.0,0.11187544921884893,0.21576677681936451,0.24939076398367874
17.0,0.10897522589951054,0.19933810761407056,0.2372208489905076
18.0,0.0678542734197144,0.15271523890421074,0.22402396538843858
19.0,0.04942087554804251,0.11737788110762178,0.17898059961244556
20.0,0.02942853931300285,0.08650100590221739,0.17147472873760683
21.0,0.09983768003269372,0.1827309886507604,0.2803474954930061
22.0,0.10796181611024326,0.1834259266460108,0.24227161187653368
23.0,0.07118523524002499,0.1482080193095243,0.18867860615004012
24.0,0.08541917095709943,0.18253847180600424,0.1975510459635034
25.0,0.030840713570890205,0.13533654569871506,0.1002244528705184
